Using downloaded and verified file: data/train_32x32.mat
Using downloaded and verified file: data/test_32x32.mat
INFO:__main__:Epoch 157, G Loss:0.46, D Loss:-3.06, G WD:3.69, gp:0.63, Time: 23.30.
INFO:__main__:Epoch 158, G Loss:0.19, D Loss:-3.04, G WD:3.65, gp:0.61, Time: 23.43.
INFO:__main__:Epoch 159, G Loss:0.54, D Loss:-3.07, G WD:3.69, gp:0.62, Time: 23.29.
INFO:__main__:Epoch 160, G Loss:0.24, D Loss:-3.03, G WD:3.65, gp:0.62, Time: 23.43.
INFO:__main__:Epoch 161, G Loss:0.27, D Loss:-3.06, G WD:3.68, gp:0.62, Time: 23.15.
INFO:__main__:Epoch 162, G Loss:0.47, D Loss:-3.05, G WD:3.67, gp:0.62, Time: 23.38.
INFO:__main__:Epoch 163, G Loss:0.28, D Loss:-3.06, G WD:3.68, gp:0.62, Time: 23.32.
INFO:__main__:Epoch 164, G Loss:0.07, D Loss:-3.04, G WD:3.66, gp:0.62, Time: 23.33.
INFO:__main__:Epoch 165, G Loss:0.30, D Loss:-3.03, G WD:3.67, gp:0.63, Time: 23.31.
INFO:__main__:Epoch 166, G Loss:0.46, D Loss:-3.02, G WD:3.63, gp:0.62, Time: 23.51.
INFO:__main__:Epoch 167, G Loss:0.65, D Loss:-3.03, G WD:3.65, gp:0.62, Time: 23.21.
INFO:__main__:Epoch 168, G Loss:0.50, D Loss:-3.04, G WD:3.65, gp:0.62, Time: 23.51.
INFO:__main__:Epoch 169, G Loss:0.44, D Loss:-3.01, G WD:3.62, gp:0.61, Time: 23.25.
INFO:__main__:Epoch 170, G Loss:0.18, D Loss:-3.02, G WD:3.63, gp:0.62, Time: 23.15.
INFO:__main__:Epoch 171, G Loss:0.02, D Loss:-3.03, G WD:3.64, gp:0.61, Time: 23.03.
INFO:__main__:Epoch 172, G Loss:0.29, D Loss:-3.01, G WD:3.63, gp:0.62, Time: 23.03.
INFO:__main__:Epoch 173, G Loss:0.52, D Loss:-3.01, G WD:3.62, gp:0.61, Time: 23.30.
INFO:__main__:Epoch 174, G Loss:0.69, D Loss:-3.00, G WD:3.61, gp:0.62, Time: 23.32.
INFO:__main__:Epoch 175, G Loss:0.49, D Loss:-3.01, G WD:3.62, gp:0.61, Time: 23.39.
INFO:__main__:Epoch 176, G Loss:0.22, D Loss:-3.00, G WD:3.61, gp:0.61, Time: 23.39.
